sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-04_14:49:16_989 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
56,1688500680,5.194073,2.211839,-5.313329,178.901260,280.375244,-105.539337,-0.068670,0.491443,0.848807,-0.182470,
57,1688517347,-4.015600,-1.304354,-48.356628,76.410965,140.457184,-102.955528,-0.094498,0.481457,0.852571,-0.179977,
58,1688534014,2.657629,-0.392972,-8.498209,82.035988,32.742992,-89.217972,-0.106565,0.470065,0.856246,-0.185813,
59,1688550681,6.505583,-1.894311,-8.472557,107.330681,43.821419,-86.924057,-0.121664,0.458667,0.858512,-0.194369,
60,1688567348,7.102674,-1.782048,-9.866771,96.101303,39.839069,-81.159126,-0.135362,0.447869,0.860423,-0.201900,
61,1688584015,7.023552,-1.827633,-10.960191,77.965492,27.981958,-73.486778,-0.146163,0.437884,0.862331,-0.208037,
62,1688600682,6.686192,-1.756738,-11.339949,61.118336,13.951078,-64.702682,-0.153859,0.428827,0.864309,-0.213085,
63,1688617349,6.682773,-1.703292,-11.012689,42.136341,-0.907922,-55.516407,-0.158217,0.420819,0.866526,-0.216822,
64,1688634016,6.232154,-1.784465,-10.705631,24.781553,-14.306976,-48.046425,-0.159593,0.413684,0.869080,-0.219308,
65,1688650683,5.613689,-2.151443,-10.202874,14.686307,-24.569160,-44.590893,-0.158962,0.406860,0.871943,-0.221160,
66,1688667350,5.127347,-2.284909,-9.719393,15.759823,-30.517921,-45.216499,-0.157665,0.399707,0.874902,-0.223433,
67,1688684017,4.571508,-2.342967,-9.133625,22.675196,-32.057072,-49.097786,-0.156701,0.391817,0.877843,-0.226531,
